Group		Cluster16S_1	Cluster16S_5	Cluster16S_21	Cluster16S_30	Cluster16S_39	Cluster16S_26	Cluster16S_13	Cluster16S_17	Cluster16S_9	Cluster16S_62	Cluster16S_50	Cluster16S_31	Cluster16S_3	Cluster16S_15	Cluster16S_86	Cluster16S_14	Cluster16S_72	Cluster16S_2	Cluster16S_93	Cluster16S_7	Cluster16S_142	Cluster16S_51	Cluster16S_10	Cluster16S_12	Cluster16S_108	Cluster16S_4	Cluster16S_84	Cluster16S_8	Cluster16S_77	Cluster16S_202	Cluster16S_27	Cluster16S_16	Cluster16S_182	Cluster16S_144	Cluster16S_23	Cluster16S_6	Cluster16S_52	Cluster16S_106	Cluster16S_172
ALST_NC	2,756099344	1	92	5	12	37	48	1	106	1	0	1	14	0	49	0	1	277	1	2	1	0	0	0	1	12	0	0	0	20	0	8	0	8	2	0	0	1	17	1
ARK_NC	2,934286633	2	18	2	16	1	1	0	20	5	0	37	43	0	0	0	0	55	0	2	0	2	21	0	4	0	0	495	0	0	0	1	3	4	0	0	0	0	0	0
AVIA_NC	1,453634197	0	11	1	61	341	152	0	96	0	94	0	417	1	82	231	0	3	0	65	0	238	0	0	1	70	0	0	0	0	199	0	0	2	0	23	1	2	11	0
BIG_NC	2,347681875	0	54	9	32	621	116	1	176	9	83	9	44	0	65	6	1	7	1	2	1	14	0	1	1	449	1	62	0	0	10	2	1	16	0	22	2	1	16	0
BIL_NC	-1,72368051	1	23	645	2	1	1	0	11	5	5	4	0	0	39	7	0	170	1	0	1	33	32	0	2	0	0	0	0	187	4	4	0	0	83	1	43	7	52	62
BONN_NC	2,13986369	3	43	1	224	0	0	0	0	0	15	0	1	1	3	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	7	0	0	43	0	1	0	1	2	0
COR_NC	-4,299682914	1	13	2	8	2	0	1	17	15	175	0	12	3	12	3	1	1	1	72	0	905	0	0	7	0	1	0	0	26	17	18	0	10	0	62	1	7	0	1
DEC_NC	-3,39638871	0	31	260	297	40	3	0	29	1	3	50	0	5	1	0	2	6	5	2	0	0	0	0	7	0	0	0	0	1	8	0	0	18	0	1	1	12	7	0
EDF_NC	2,610121196	1	30	196	37	183	0	1	36	11	1	2	155	0	65	3	2	23	0	12	1	0	0	0	0	137	1	36	0	1	3	5	0	16	1	1	0	1	10	1
ESP_NC	3,798472666	0	177	5	414	134	0	0	57	2	1	0	25	0	9	140	1	7	0	53	0	1	158	0	0	185	0	0	0	0	0	0	0	31	0	6	0	7	5	0
FOR_NC	1,739099716	0	237	0	14	348	346	1	24	0	208	0	208	3	66	0	0	0	1	2	0	108	0	0	0	13	0	0	0	0	21	5	0	2	0	64	0	6	0	0
FRA_NC	-5,057613735	0	35	8	7	6	0	1	5	30	0	0	0	1	68	5	0	10	2	31	1	0	0	0	1	1	1	0	0	406	1	114	0	0	4	0	0	24	0	0
GAR_NC	1,417790715	0	11	1	4	16	53	2	16	30	586	0	2	1	137	12	0	1	0	18	0	9	0	0	5	0	1	77	0	1	1	44	0	20	0	2	0	16	3	0
JUST_NC	0,981485562	0	68	156	112	78	16	0	29	2	0	0	180	0	79	0	0	68	1	15	1	1	28	0	1	65	0	38	0	12	1	16	0	11	41	0	1	2	73	12
MID_NC	-5,126783688	0	21	0	390	1	0	0	0	0	17	0	1	0	1	10	0	0	5	0	0	2	0	1	0	0	0	0	0	0	11	0	1	1	0	0	0	0	0	0
MOU_NC	2,699347059	1	1	0	15	0	0	2	0	2	1	1366	0	0	0	31	3	0	0	2	1	9	448	1	0	0	0	0	1	0	4	1	0	0	0	0	0	1	0	0
PER_NC	0,870191593	2	13	1	17	11	1	1	32	2	0	0	8	4	76	6	1	27	1	9	0	0	0	0	0	0	1	2	1	10	0	12	0	7	1	0	0	1	276	0
QUA_NC	-1,37284995	0	0	0	17	0	2	1	0	0	1	4	0	0	0	1500	1	0	1	1	1	0	0	4	0	0	0	0	0	0	1094	0	0	0	0	0	0	0	1	0
REB_NC	0,143955797	2	7	203	4	202	1	1	84	1	2	98	1	2	0	8	2	160	0	0	0	0	332	1	0	0	0	2	0	0	0	2	1	1	0	0	0	3	24	0
RECU_NC	-2,357748465	1	5	302	140	2	2	1	2	1	1	0	0	1	0	2	0	45	1	1	0	8	0	0	0	0	1	0	0	0	31	0	0	2	0	2	0	1	0	0
SYT_NC	-0,904637632	0	73	12	8	0	0	10	0	1	0	0	0	0	1	1	4	70	0	6	0	0	12	0	1	0	0	0	0	65	0	21	0	0	9	0	0	0	3	0
TAS_NC	0,41721872	0	4	30	32	182	11	0	9	0	104	166	0	0	4	16	1	5	0	3	0	44	4	0	0	1	4	0	0	0	26	5	0	2	0	91	1	21	0	0
VOIL_NC	-2,069863158	0	36	0	31	0	0	0	33	1	0	0	0	0	5	0	0	10	6	93	0	2	28	1	1	0	0	0	1	85	0	1	2	91	44	0	0	1	8	482
FOR_EC	-2,8918875	0	28	0	113	122	141	1	218	1	1213	0	13	1	54	0	0	0	0	16	0	251	0	0	1	5	0	0	0	0	8	1	2	65	0	0	0	0	0	0
BIG_EC	-2,759129079	1	21	3	156	162	379	1	142	63	1	0	414	0	68	0	1	6	1	87	0	0	0	0	0	175	2	226	0	0	2	10	0	8	351	1	1	0	8	0
REB_EC	-2,701871858	0	9	1	18	0	1	0	16	2	0	69	1	0	4	0	1	0	1	499	0	0	1	1	1	0	0	0	0	0	0	9	0	24	0	0	0	0	0	0
MID_EC	-2,560319574	0	42	7	91	84	79	1	195	5	2	1	68	0	17	7	1	9	1	169	0	2	0	2	0	34	0	204	0	0	0	0	490	11	0	0	0	2	96	0
VOIL_EC	-2,349915526	4	82	40	7	10	5	0	70	25	0	541	0	0	3	0	0	241	1	1	0	0	0	0	1	0	1	3	2	0	1	17	1	20	0	0	1	8	26	0
AVIA_EC	-2,257781575	1	36	0	181	343	0	0	38	29	31	0	2	0	46	0	0	1	1	95	0	41	0	0	0	441	0	0	0	0	5	2	0	14	0	2	0	0	0	0
DEC_EC	-2,214192878	1	28	0	15	30	2	1	7	22	15	1	3	0	34	0	1	12	3	9	0	0	0	0	1	2	0	100	1	0	1	2	0	15	22	0	0	12	2	0
ESP_EC	-1,752082136	0	54	1	560	40	0	1	16	14	0	0	1	0	10	7	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	17	0	206	0	0	2	936	3	0
QUA_EC	-1,45015679	0	21	0	14	23	536	0	9	19	22	0	23	1	25	0	1	0	0	32	1	6	0	1	1	8	3	7	2	0	6	18	0	24	0	1	0	39	0	0
BONN_EC	-1,327358089	3	18	7	109	162	68	1	158	12	4	0	108	2	353	0	0	3	3	13	0	1	0	0	0	0	2	118	2	0	3	49	0	296	101	0	0	21	39	0
BIL_EC	-1,284650028	0	40	78	239	75	163	0	20	17	0	18	140	1	1	0	1	31	0	20	0	0	0	0	1	34	0	159	0	0	0	6	0	15	0	1	1	0	16	0
PER_EC	0,002018388	0	333	5	103	31	574	1	7	5	0	0	826	1	54	0	1	4	6	6	1	0	0	0	0	6	0	7	0	4	0	134	1	108	59	0	1	2	31	6
EDF_EC	0,381940313	0	195	971	8	22	0	1	19	3	0	15	2	0	2	23	0	2	4	465	1	1	0	2	1	0	0	9	0	4	0	1	1	12	1	0	0	9	94	0
JUST_EC	0,429189413	10	11	46	60	0	0	2	49	1	2	35	0	0	0	42	2	33	0	0	2	2	30	0	0	1	0	1	2	15	1	1	0	0	0	0	0	1	11	1
RECU_EC	0,585438686	0	280	3	2	1	0	1	2	3	0	0	1	0	21	2	1	858	2	9	2	0	2	0	0	0	0	0	0	174	0	5	0	2	14	0	0	1	23	4
FRA_EC	1,248915756	0	100	149	28	0	0	2	2	37	10	0	7	2	21	111	0	0	1	17	0	28	2	0	1	1	2	0	1	0	4	3	0	9	0	17	0	96	8	0
SYT_EC	1,295052261	0	3	4	148	1	0	1	397	3	0	12	1	0	1	3	3	105	1	14	0	0	101	0	2	0	0	0	0	9	1	6	4	19	0	0	0	4	30	2
TAS_EC	1,549688981	6	8	4	10	34	120	1	301	25	192	24	1	1	10	188	1	0	2	2	3	93	4	0	2	0	2	32	2	3	9	26	0	77	0	170	0	3	14	0
ALST_EC	1,753700788	2	7	121	30	133	691	1	415	1	1	4	1	0	44	2	1	1	12	5	1	1	0	0	1	0	7	0	0	0	0	9	0	164	0	1	0	3	313	0
COR_EC	2,077645476	1	15	744	60	0	0	1	30	3	85	391	0	1	123	75	1	1	5	4	0	13	263	0	0	0	4	0	2	1	4	2	0	0	0	0	1	0	7	0
GAR_EC	2,22744923	4	4	4	18	67	40	1	8	14	23	0	2	0	15	2	1	3	0	6	1	21	3	0	0	0	0	0	4	463	1	41	0	8	0	1	3	4	2	647
MOU_EC	2,653271017	0	16	24	2	0	8	1	73	0	0	0	0	2	4	4	0	2	1	12	3	0	349	8	0	0	1	0	2	2	0	1	0	4	653	3	0	9	0	0
ARK_EC	9,345034721	0	0	0	0	0	0	1458	0	0	0	0	0	1	0	0	1082	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FOR_Lm	-2,8918875	2	1	0	1	0	0	13	7	8	0	0	5	1559	8	0	8	0	0	0	0	1	0	0	9	0	299	0	0	0	0	3	0	0	0	0	5	0	0	0
BIG_Lm	-2,759129079	12	0	0	0	3	0	96	27	1026	0	0	1	0	11	0	58	0	0	0	8	0	0	0	2	3	1	0	0	0	0	123	0	0	0	1	7	0	0	0
REB_Lm	-2,701871858	8	3	0	5	0	0	61	5	39	0	5	1	0	2	0	45	0	5	52	6	0	0	0	7	0	2	0	0	0	0	24	0	2	0	0	6	0	1	0
MID_Lm	-2,560319574	1	0	0	1	0	0	103	11	55	0	0	1	30	285	0	66	0	1	0	0	0	0	727	1	0	11	0	6	0	0	17	845	0	0	8	3	0	0	0
VOIL_Lm	-2,349915526	2213	0	0	91	0	0	19	2	14	0	1	0	0	0	0	15	8	1	0	1	0	0	0	1	0	85	0	277	0	0	8	5	1	0	0	0	0	0	0
AVIA_Lm	-2,257781575	13	1	0	5	1	0	379	5	312	0	0	49	0	16	0	299	0	0	3	0	0	0	0	10	14	0	0	0	0	0	8	0	0	0	1	1	0	0	0
