echantillons 	echantillons 		samples	indice de Shannon 
ALST_NC	ALST	NC	NC	4,090369088
ARK_NC	ARK	NC	NC	3,886312268
AVIA_NC	AVIA	NC	NC	3,621717666
BIG_NC	BIG	NC	NC	3,924669035
BIL_NC	BIL	NC	NC	4,234670999
BONN_NC	BONN	NC	NC	3,577960842
COR_NC	COR	NC	NC	3,747609369
DEC_NC	DEC	NC	NC	3,981408513
EDF_NC	EDF	NC	NC	4,453173313
ESP_NC	ESP	NC	NC	4,373628613
FOR_NC	FOR	NC	NC	3,804748441
FRA_NC	FRA	NC	NC	4,155069804
GAR_NC	GAR	NC	NC	4,386782547
JUST_NC	JUST	NC	NC	4,553874271
MID_NC	MID	NC	NC	3,350285044
MOU_NC	MOU	NC	NC	2,251583653
PER_NC	PER	NC	NC	3,969783362
QUA_NC	QUA	NC	NC	1,876435922
REB_NC	REB	NC	NC	3,857478356
RECU_NC	RECU	NC	NC	2,963282057
SYT_NC	SYT	NC	NC	3,924017828
TAS_NC	TAS	NC	NC	4,37870286
VOIL_NC	VOIL	NC	NC	4,385004023
ALST_EC	ALST	EC	EC	3,415297717
ARK_EC	ARK	EC	EC	1,701982759
AVIA_EC	AVIA	EC	EC	3,676234651
BIG_EC	BIG	EC	EC	3,77249902
BIL_EC	BIL	EC	EC	3,865412764
BONN_EC	BONN	EC	EC	4,312119196
COR_EC	COR	EC	EC	3,628611886
DEC_EC	DEC	EC	EC	4,507608423
EDF_EC	EDF	EC	EC	3,067563019
ESP_EC	ESP	EC	EC	3,163046921
FOR_EC	FOR	EC	EC	3,077621998
FRA_EC	FRA	EC	EC	4,755355878
GAR_EC	GAR	EC	EC	4,151093942
JUST_EC	JUST	EC	EC	4,030946957
MID_EC	MID	EC	EC	3,960043315
MOU_EC	MOU	EC	EC	3,703680803
PER_EC	PER	EC	EC	3,485394058
QUA_EC	QUA	EC	EC	3,750338132
REB_EC	REB	EC	EC	3,88388543
RECU_EC	RECU	EC	EC	3,979815872
SYT_EC	SYT	EC	EC	4,146662921
TAS_EC	TAS	EC	EC	4,386668254
VOIL_EC	VOIL	EC	EC	4,255880091
ALST_L1	ALST	L1	L	3,952711548
ALST_L10	ALST	L10	L	4,118359163
ALST_L11	ALST	L11	L	3,072061432
ALST_L12	ALST	L12	L	2,935202163
ALST_L13	ALST	L13	L	1,864657877
ALST_L14	ALST	L14	L	2,489062405
ALST_L15	ALST	L15	L	3,88466045
ALST_L4	ALST	L4	L	1,818379757
ALST_L5	ALST	L5	L	3,892110612
ALST_L6	ALST	L6	L	4,095254434
ALST_L7	ALST	L7	L	1,904117687
ALST_L9	ALST	L9	L	1,992347717
ARK_L1	ARK	L1	L	3,080549209
ARK_L10	ARK	L10	L	3,636353608
ARK_L11	ARK	L11	L	4,282006413
ARK_L13	ARK	L13	L	3,436795667
ARK_L14	ARK	L14	L	3,785860977
ARK_L3	ARK	L3	L	1,522184352
ARK_L4	ARK	L4	L	1,678600077
ARK_L7	ARK	L7	L	1,801671669
ARK_L8	ARK	L8	L	4,073419157
ARK_L9	ARK	L9	L	1,591380539
AVIA_L1	AVIA	L1	L	3,555556899
AVIA_L10	AVIA	L10	L	3,097859642
AVIA_L11	AVIA	L11	L	3,072152608
AVIA_L12	AVIA	L12	L	3,064401947
AVIA_L3	AVIA	L3	L	3,679016682
AVIA_L5	AVIA	L5	L	3,793756979
AVIA_L6	AVIA	L6	L	2,772301113
AVIA_L7	AVIA	L7	L	2,239192414
AVIA_L8	AVIA	L8	L	3,578629466
