name	GARDEN	COLONISATION	M61T49	M85T40	M95T697	M99T40	M101T40	M104T45	M105T811	M109T806	M109T697	M109T822	M117T40	M127T51	M149T983	M149T262	M167T262	M181T564	M191T870	M197T437	M197T406	M209T480	M227T64	M227T513	M233T692	M236T50	M239T266	M247T690	M250T697	M251T735	M253T739	M255T692	M255T757	M265T464	M271T736	M275T933	M277T759	M277T743	M279T998	M279T761	M279T779	M283T305	M283T792	M283T854	M284T713	M284T707	M285T707	M285T713	M287T690	M289T703	M291T734	M293T925	M293T739	M293T721	M295T759	M296T394	M297T777	M298T690	M299T77	M299T90	M299T690	M300T305	M301T746	M301T757	M303T850	M305T467	M305T477	M305T877	M306T713	M306T707	M307T707	M307T713	M308T568	M312T606	M312T619	M313T834	M315T727	M317T759	M317T743	M319T761	M327T334	M331T729	M331T653	M333T838	M333T703	M335T720	M344T334	M353T834	M358T324	M358T305	M359T633	M362T889	M363T889	M366T905	M371T92	M371T100	M371T358	M386T905	M387T905	M389T358	M402T332	M402T349	M413T998	M419T933	M419T921	M420T933	M420T921	M429T996	M430T996	M433T378	M441T933	M441T923	M442T933	M442T923	M446T369	M446T354	M447T983	M447T970	M448T982	M453T837	M453T829	M457T932	M457T923	M469T983	M469T969	M469T996	M470T996	M476T395	M480T879	M511T721	M520T410	M523T847	M523T854	M525T996	M533T881	M533T892	M534T881	M534T892	M540T854	M540T847	M549T895	M549T912	M564T424	M589T995	M590T995	M734T746	M734T727	M734T736	M734T766
ALST_ENC	ALST	NC	25137	210066	25332	34940	13627	44052	10648	33804	15173	23625	13760	835	16458	1392	130	52668	8277	95364	19669	4789	235	38705	2383	3046	146161	4526	61580	17289	11647	3033	18967	755	3624	9498	19046	18550	12951	60030	31953	173537	19275	29534	0	0	0	220	3401	2017	14197	4477	28095	8641	20598	161	22333	2048	100	152	302	74258	7720	12241	54244	669	341	313898	0	0	0	81	0	414701	255414	10012	3616	16707	20700	58082	139907	7215	3342	7659	13689	21061	272104	42504	12898	24572	10114	25796	7910	58290	92	85	90135	97394	25839	84703	27592	19594	5804	40133	39310	11487	11665	645248	214508	83671	21802	17697	6452	5121	18418	23664	49239	58583	15795	2730	888	3283	2284	30375	28169	274367	88186	351654	11908	115288	261273	34717	32163	998	1029036	363757	378241	134244	18626	17476	55230	9621	144238	458329	186988	141065	77155	49578	40214
ARK_ENC	ARK	NC	15416	157340	7948	26527	11655	27642	7256	31449	5307	27629	9830	985	13596	10302	2078	17980	5982	18826	7286	3004	548	26956	2201	33812	137208	7496	13084	33185	12758	2129	19095	531	2920	7955	19117	50283	13383	56319	43898	133432	18777	12393	0	0	88	126	8619	11151	28695	3538	30743	7750	22557	36	38638	399	224	131	56	56021	14734	12087	51086	517	198	186997	0	0	0	78	55	5029	5763	11000	8588	22772	53267	73718	113056	6369	3378	7453	22161	20235	215206	60703	11294	22501	12336	12184	3408	34744	185	146	70658	81131	22338	67832	26074	16940	7582	29465	27878	9008	7954	108006	35042	65329	20125	15793	5762	4641	16727	22159	30356	13750	9311	325	201	3533	2721	23437	9554	67747	21423	271586	6080	819	180945	17570	13101	262517	375140	152589	137908	56896	10663	14482	21562	43222	90103	5620	2251	2994	888	661	626
AVIA_ENC	AVIA	NC	425622	373318	26524	65656	24729	34017	5720	33067	17195	4379	26135	75467	12125	2144	495	12854	4246	6052	3511	53926	2776	29309	2592	2131	83616	2845	64195	9460	6930	1810	16149	47140	3680	8154	30012	13800	13298	40972	20122	115581	16251	9399	0	356	0	0	2092	3684	9277	3466	12535	7530	31380	308	16879	7710	1178	202	1649	49157	7700	5027	20227	101657	16195	92852	0	0	0	0	0	703	519	10080	3335	35262	14908	42074	102977	8029	3559	1716	6235	19145	197297	54921	11274	24618	0	6453	1903	21610	398	263	67291	53600	14399	63366	26741	16338	8232	31203	25369	9147	7405	4108	1163	61420	19619	13640	6063	4151	15985	22475	24844	10919	7321	286	200	2792	2251	18095	8224	2431	876	241287	3688	575	170350	9065	7063	190	2182	882	1541	459	6178	7547	335	85	79168	585	507	127	0	71	149
BIG_ENC	BIG	NC	476160	246011	12770	41515	16547	20479	5413	27413	7459	4021	16430	1847	12457	1347	194	18117	3798	18394	2220	12629	916	24361	1550	9455	99459	3474	22216	9678	5175	1515	12904	596	1855	6305	14608	19595	11918	32141	17299	128999	17451	8937	1847090	1802122	340686	354053	3129	3747	9320	2738	10881	6625	15371	962267	16140	3144044	402	140	1482125	55110	7670	5735	10240	774	376	34998	1099014	834266	153318	203919	66	3292	3654	9492	4288	15778	20334	38767	113396	9077	3021	1524	12039	12167	213872	47510	13285	24142	12266	4243	901	12755	306	136	71969	29203	7679	67341	28149	19215	6862	25129	22343	7103	6382	29533	9621	66963	16294	11418	4667	3603	18499	22071	25826	8951	7966	317	231	2643	1776	18200	7660	21340	6830	262963	2383	829	180966	7351	5645	142	61973	24033	23271	8956	4314	6178	3283	8850	86501	869	536	1354	593	306	451
BIL_ENC	BIL	NC	45878	1206269	14570	190321	65608	23753	5762	31507	9479	5162	86855	2096	11887	903	0	16676	3621	34113	6152	3487	1436	33175	1967	1695	158267	2688	36836	28146	8045	1611	36370	441	2587	7457	13747	9831	10150	52770	24423	165769	20658	8354	0	0	0	0	1689	2481	23736	3119	16278	8411	28136	179	22919	1046	778	160	312	71210	10876	10161	24853	413	255	86005	0	148	0	145	0	945	1254	9002	2803	16598	10434	66529	133695	7209	2241	198	6369	21074	251275	57403	14515	25796	14800	5373	1748	11537	492	194	81126	15110	9171	78140	29960	21530	5611	29825	17729	8758	5223	112355	35012	78573	19010	14724	5537	4358	20713	24451	24702	8191	7278	584	209	2739	2200	18143	8796	74940	16637	320500	1771	21789	221903	6479	3778	265	99795	20453	35640	8406	3898	5107	3215	1357	113871	37723	12076	9906	2210	1097	1407
BONN_ENC	BONN	NC	343473	256897	31718	42753	15564	11830	5948	30937	20659	4544	16609	4350	12240	3071	699	14859	5096	7842	2813	11183	519	41702	2939	12970	97408	2147	77518	6963	5757	2472	14985	245825	2174	11958	11021	6842	20584	26070	15165	121770	16875	11359	0	0	0	0	1863	2102	6353	4374	8726	8007	15298	179	13595	895	413	236	0	50377	7300	4841	17077	524969	106695	79112	182	0	0	0	0	23711	20274	11165	3160	13405	7469	29864	105725	8298	2647	3888	5084	16365	201046	41789	12444	26772	9646	7364	1997	19276	133	106	69347	60054	16153	64302	27689	17837	12648	46241	53156	12953	15439	10394	3502	63144	26285	28791	7839	8464	17472	23166	32225	46115	10197	413	131	3638	3811	20859	26429	5861	2186	255695	4575	929	168200	11431	9686	143	5771	3588	4010	1514	4228	9023	1008	1219	77597	7613	4329	344	294	216	140
COR_ENC	COR	NC	215456	1612986	7013	269876	91488	151857	53746	86283	3512	5252	122402	7408	53417	127323	28097	10028	1961	20257	3481	4123	7145	39688	2153	7217	139262	2632	8104	10818	5677	2747	18701	612	3169	138013	22228	9281	10275	63059	50762	146654	17889	9020	0	0	277	0	2342	3152	15536	46536	20832	9835	22170	135	46075	692	2208	571	0	62408	12829	13140	17864	803	462	33841	0	0	0	0	0	3711	5019	10457	4508	27280	19136	81614	120142	8713	3478	2696	8796	18765	229586	58118	11977	23541	12366	0	792	9169	1112	418	77601	18456	4363	74920	27105	16914	3554	545961	375921	167183	115413	16055	7551	71674	316667	215915	92833	64187	17955	23145	230392	59424	72862	75267	145783	50534	33692	166701	48029	9980	3730	282189	1580	3135	201313	4249	3023	53	2478	4023	3364	1613	3067	4555	1211	556	100311	945	690	241	169	145	150
DEC_ENC	DEC	NC	157974	2642890	28255	405094	87455	21262	5571	31728	18179	4211	226904	1539	11791	1031	46	11512	4349	3614	1669	26919	781	35883	1802	1079	96241	2903	74442	15622	5611	2558	13126	147	2134	6587	9920	6976	9626	32443	14703	127406	15664	8688	0	0	168	124	1565	1592	13141	2888	10474	7483	12790	184	11209	82	0	132	0	54302	9049	5012	16189	365	133	78676	0	109	0	226	258	297	508	10917	2658	12184	4650	38122	106760	9025	1925	1066	3675	17056	206002	60200	11690	23445	9425	4093	1358	13586	81	61	68590	34873	9504	66555	26665	17193	6077	23758	21033	7171	5751	3290	1167	64308	15907	12949	4712	3874	16752	22781	22740	11716	7520	442	206	2713	1961	18025	7687	2420	997	265758	2249	5157	180089	5877	4571	0	710	221	524	338	3859	4671	135	61	89883	416	101	127	108	139	70
EDF_ENC	EDF	NC	88298	207727	8546	32454	12366	89636	6679	31991	5595	83994	13218	47030	15153	1290	259	50785	4367	68972	17214	4749	215	38903	2625	16735	89882	3711	9407	15078	7075	2602	16213	643	2806	12487	24394	20233	15834	44348	27518	117991	21106	13094	0	0	0	0	4107	6725	15107	4646	14695	10679	24694	112	27225	2325	304	125	286	51096	17238	9480	42593	509	172	194691	0	0	0	0	118	17918	17051	10366	4529	28384	23548	50330	102192	8043	2530	1954	13679	22769	198738	52624	12197	23697	10223	9495	2792	25330	113	83	68624	59440	15350	64667	27208	17635	6701	49997	44412	14999	12756	170722	51997	62916	28986	22744	8620	6626	16602	22416	40620	16404	11737	546	144	4322	3346	26466	12322	103162	33193	248037	4303	14817	174321	10539	5708	27616	569224	198250	210807	73507	6215	5054	28473	16455	80867	18705	8106	10096	4248	3098	2340
ESP_ENC	ESP	NC	33128	657610	6970	109847	23849	110809	5400	32369	5070	29032	46201	23200	11147	1207	188	14011	3214	37569	26737	4968	317	45236	1879	31709	122630	7183	8953	41734	10155	2025	14935	503	2574	10519	23107	10398	8058	43149	23872	147394	16524	7689	0	0	108	0	15461	14618	37230	4199	29192	8694	18868	173	21411	2804	294	65	433	55865	12191	9327	18490	381	93	87053	0	0	0	103	0	951	734	9684	3501	25965	12226	48678	121827	8548	3897	1190	7209	21760	233796	55225	11824	19715	12078	3408	1275	11122	209	111	77760	2910	1349	73204	27296	17345	5770	42713	33686	12506	9946	39063	7034	71475	27882	17962	7375	5118	17247	22293	27748	9856	8736	241	65	2443	2482	19138	8292	16467	7259	299322	2758	1374	212483	8142	7617	3005	33399	21185	10164	7880	4397	5099	1662	771	108821	2244	1188	177	128	74	82
