Sample	Garden	condition_trie	Context 	Context2	Site	Material	Colors	Poll_PC1 	Poll_PC2	X,PC1	X,PC2	PC1_mp	PC2_mp
ALST_EC	ALST	EC	NEG	-	BIDON	plastique	bleu	0,262138852	-0,985321566	1,753700788	5,053003233	-3,917041917	-0,475290987
AVIA_EC	AVIA	EC	NEG	-	BIDON	plastique	vert	-0,347921509	-0,413209615	-2,257781575	-0,695105273	-1,356569085	0,740299618
BIG_EC	BIG	EC	NEG	-	BIDON	plastique	bleu	-0,452945838	-0,474172716	-2,759129079	0,229538599	-2,924689337	0,438217022
BONN_EC	BONN	EC	NEG	-	BIDON	plastique	bleu	-0,38171701	-0,283820786	-1,327358089	-0,997494415	-2,927406972	0,406759952
COR_EC	COR	EC	NEG	-	BIDON	plastique	bleu	0,345307774	-1,287567562	2,077645476	2,199928591	-1,632725065	0,143823036
ESP_EC	ESP	EC	NEG	-	BIDON	plastique	bleu	-0,150379809	-0,67058819	-1,752082136	-0,139169604	-4,911075126	0,33227941
GAR_EC	GAR	EC	NEG	-	BIDON	plastique	bleu	-0,070453139	-0,751068661	2,22744923	1,25035542	-2,988980434	-0,300305523
MID_EC	MID	EC	NEG	-	BIDON	plastique	bleu	-0,382994013	0,079247539	-2,560319574	-0,454920156	-0,79130261	2,124608626
MOU_EC	MOU	EC	NEG	-	BIDON	plastique	bleu	-0,203176148	-0,618352147	2,653271017	4,895109934	-4,201002009	0,003408918
REB_EC	REB	EC	ATMO	+	BIDON	plastique	bleu	1,481093323	0,943927414	-2,701871858	-1,102433547	-2,062848186	0,194285063
RECU_EC	RECU	EC	ATMO	+	BIDON	plastique	bleu	1,726397323	0,381095583	0,585438686	0,343577102	-2,381580357	0,405266542
SYT_EC	SYT	EC	NEG	-	BIDON	métal	gris	0,192507126	-0,335963396	1,295052261	1,367818478	-3,528086869	0,268441556
TAS_EC	TAS	EC	INDUS	+	SEAU	plastique	blanc	-1,249653247	0,31332759	1,549688981	0,645029499	-6,585063256	1,833419986
