Sample	Garden	condition_trie	Context 	Context2	Site	Material	Colors	Poll_PC1 	Poll_PC2	X.PC1	X.PC2	PC1_mp	PC2_mp
ALST_NC	ALST	NC	NEG	-	BIDON	plastique	bleu	0,262138852	-0,985321566	2,756099344	1,544798291	-3,873965327	7,659665997
AVIA_NC	AVIA	NC	NEG	-	SEAU	plastique	rouge	-0,347921509	-0,413209615	1,453634197	-0,107400996	3,274721683	1,273985165
BIG_NC	BIG	NC	NEG	-	BIDON	plastique	bleu	-0,452945838	-0,474172716	2,347681875	-0,037893208	5,615456509	1,21585866
BONN_NC	BONN	NC	NEG	-	BIDON	plastique	vert	-0,38171701	-0,283820786	2,13986369	-0,05126801	4,236901345	1,401565353
COR_NC	COR	NC	NEG	-	BIDON	plastique	blanc	0,345307774	-1,287567562	-4,299682914	-0,79450947	7,216027706	-16,48148529
ESP_NC	ESP	NC	NEG	-	BIDON	plastique	bleu	-0,150379809	-0,67058819	3,798472666	-0,639572662	2,261927704	-0,266419823
GAR_NC	GAR	NC	NEG	-	BIDON	plastique	bleu	-0,070453139	-0,751068661	1,417790715	-0,836541951	-4,212358287	4,451491714
MID_NC	MID	NC	NEG	-	BIDON	plastique	noir	-0,382994013	0,079247539	-5,126783688	2,854684383	3,533787963	-0,456449416
MOU_NC	MOU	NC	NEG	-	BIDON	plastique	gris	-0,203176148	-0,618352147	2,699347059	0,060285189	-1,666004306	-5,388002192
REB_NC	REB	NC	ATMO	+	BIDON	plastique	bleu	1,481093323	0,943927414	0,143955797	0,357097142	2,211691986	1,602422619
RECU_NC	RECU	NC	ATMO	+	SEAU	plastique	blanc	1,726397323	0,381095583	-2,357748465	-0,050517553	3,804681462	-0,841260428
SYT_NC	SYT	NC	NEG	-	BIDON	métal	gris	0,192507126	-0,335963396	-0,904637632	2,032390958	-2,345511143	2,2207601
TAS_NC	TAS	NC	INDUS	+	SEAU	plastique	noir	-1,249653247	0,31332759	0,41721872	-0,267194711	-1,257921396	-1,236727723
