Group	Garden	Sample	PC1 	PC2 
MID_NC	MID	NC	-5,126783688	2,854684383
FRA_NC	FRA	NC	-5,057613735	-5,881982063
COR_NC	COR	NC	-4,299682914	-0,79450947
DEC_NC	DEC	NC	-3,39638871	2,631454509
RECU_NC	RECU	NC	-2,357748465	-0,050517553
QUA_NC	QUA	NC	-1,37284995	-1,588650095
SYT_NC	SYT	NC	-0,904637632	2,032390958
REB_NC	REB	NC	0,143955797	0,357097142
TAS_NC	TAS	NC	0,41721872	-0,267194711
GAR_NC	GAR	NC	1,417790715	-0,836541951
AVIA_NC	AVIA	NC	1,453634197	-0,107400996
BONN_NC	BONN	NC	2,13986369	-0,05126801
BIG_NC	BIG	NC	2,347681875	-0,037893208
EDF_NC	EDF	NC	2,610121196	0,386162654
MOU_NC	MOU	NC	2,699347059	0,060285189
ALST_NC	ALST	NC	2,756099344	1,544798291
ARK_NC	ARK	NC	2,934286633	-2,57367055
ESP_NC	ESP	NC	3,798472666	-0,639572662
BIG_EC	BIG	EC	-2,759129079	0,229538599
REB_EC	REB	EC	-2,701871858	-1,102433547
MID_EC	MID	EC	-2,560319574	-0,454920156
AVIA_EC	AVIA	EC	-2,257781575	-0,695105273
DEC_EC	DEC	EC	-2,214192878	-0,747845236
ESP_EC	ESP	EC	-1,752082136	-0,139169604
QUA_EC	QUA	EC	-1,45015679	-1,543285422
BONN_EC	BONN	EC	-1,327358089	-0,997494415
EDF_EC	EDF	EC	0,381940313	1,484988299
RECU_EC	RECU	EC	0,585438686	0,343577102
FRA_EC	FRA	EC	1,248915756	-1,615678017
SYT_EC	SYT	EC	1,295052261	1,367818478
TAS_EC	TAS	EC	1,549688981	0,645029499
ALST_EC	ALST	EC	1,753700788	5,053003233
COR_EC	COR	EC	2,077645476	2,199928591
GAR_EC	GAR	EC	2,22744923	1,25035542
MOU_EC	MOU	EC	2,653271017	4,895109934
ARK_EC	ARK	EC	9,345034721	-5,280361704
BIG_Lm	BIG	L	-2,759129079	0,229538599
REB_Lm	REB	L	-2,701871858	-1,102433547
MID_Lm	MID	L	-2,560319574	-0,454920156
AVIA_Lm	AVIA	L	-2,257781575	-0,695105273
DEC_Lm	DEC	L	-2,214192878	-0,747845236
ESP_Lm	ESP	L	-1,752082136	-0,139169604
QUA_Lm	QUA	L	-1,45015679	-1,543285422
BONN_Lm	BONN	L	-1,327358089	-0,997494415
EDF_Lm	EDF	L	0,381940313	1,484988299
RECU_Lm	RECU	L	0,585438686	0,343577102
FRA_Lm	FRA	L	1,248915756	-1,615678017
SYT_Lm	SYT	L	1,295052261	1,367818478
TAS_Lm	TAS	L	1,549688981	0,645029499
ALST_Lm	ALST	L	1,753700788	5,053003233
COR_Lm	COR	L	2,077645476	2,199928591
GAR_Lm	GAR	L	2,22744923	1,25035542
MOU_Lm	MOU	L	2,653271017	4,895109934
ARK_Lm	ARK	L	9,345034721	-5,280361704
