Group	Colonisation	Id_GARDEN	MATERIAL	COLOR	PC1	Var_indus	Var_agri	Var_atmo	F	Cl	NO2	Br	NO3	PO43	SO43	Na	NH4	K	Mg2	Ca2	O2	N2	CH4	CO2	N2O	C orga	T°C	PPT	pH	Redox
ALST_EC	EC	106	plastique	bleu	0,262138852	0,000252108	79,82327696	0,017228415	0,08	17,52	0,01	1,35	4,12	0,00	34,32	13,20	0,05	3,40	7,81	64,80	3,67	10,83	0,46	8966,90	1,67	7,65	25,51	0,30	8,19	230,00
ALST_NC	NC	106	plastique	bleu	0,262138852	0,000252108	79,82327696	0,017228415	0,01	0,32	0,02	0,03	0,13	0,00	1,28	0,85	0,57	0,61	0,24	4,87	2,11	5,02	18,74	2373,80	3,67	4,37	25,17	0,00	8,49	49,00
ARK_EC	EC	105	plastique	bleu	-2,073092127	0,001894038	191,5723771	0,015246236	0,16	16,48	0,03	0,00	0,05	0,93	3,26	6,19	3,09	125,24	11,18	39,99	0,31	5,22	9,04	28552,01	2,22	66,00	22,25	0,40	6,72	-64,00
ARK_NC	NC	105	plastique	bleu	-2,073092127	0,001894038	191,5723771	0,015246236	0,03	0,22	0,00	2,60	0,01	0,07	0,46	1,20	0,02	0,58	0,15	2,92	2,08	4,65	0,17	770,90	0,14	1,00	19,09	0,00	7,93	190,00
AVIA_EC	EC	277	plastique	vert	-0,347921509	0,000670522	1658,926941	0,014834096	0,02	0,34	0,01	0,09	0,69	0,15	1,48	1,00	0,26	0,58	0,23	2,99	2,15	4,70	0,04	2038,17	0,20	3,20	20,92	0,00	7,95	252,00
AVIA_NC	NC	277	plastique	rouge	-0,347921509	0,000670522	1658,926941	0,014834096	0,03	1,58	0,04	0,36	0,66	0,81	3,82	1,78	0,47	3,41	0,92	11,85	2,16	5,12	0,25	2071,30	2,74	7,90	20,42	0,00	6,95	305,00
BIG_EC	EC	260	plastique	bleu	-0,452945838	0,000686117	1099,090284	0,004361277	0,02	0,48	0,01	0,02	0,57	0,15	0,87	1,44	0,00	0,46	0,18	3,33	3,00	6,58	0,24	1192,21	0,22	2,51	21,98	0,00	8,02	317,00
BIG_NC	NC	260	plastique	bleu	-0,452945838	0,000686117	1099,090284	0,004361277	0,02	0,54	0,02	0,04	0,22	0,13	0,92	1,56	0,81	0,77	0,26	3,83	2,12	5,02	0,18	2065,25	0,50	5,77	20,80	0,00	7,28	300,00
BIL_EC	EC	100	plastique	bleu	1,177735357	0,000367615	91,94819383	0,153356587	0,03	0,53	0,02	0,02	0,31	0,06	1,21	0,99	0,84	0,70	0,23	3,86	1,97	4,70	40,54	4233,84	0,54	6,33	23,40	0,00	8,05	86,00
BIL_NC	NC	100	plastique	bleu	1,177735357	0,000367615	91,94819383	0,153356587	0,07	8,56	0,07	0,04	0,54	0,51	17,19	6,76	0,00	4,87	4,97	44,90	1,83	4,29	198,23	4200,24	0,73	11,61	25,64	0,20	7,45	18,00
BONN_EC	EC	305	plastique	bleu	-0,38171701	0,000728279	771,2465923	0,020865467	0,02	1,17	0,03	0,01	0,82	0,55	2,49	0,77	0,02	2,66	0,91	9,95	2,35	5,33	0,06	1735,24	0,13	31,65	21,22	0,00	7,30	199,00
BONN_NC	NC	305	plastique	vert	-0,38171701	0,000728279	771,2465923	0,020865467	0,04	0,38	0,01	0,01	0,02	0,00	0,88	0,80	0,03	0,39	0,24	5,29	1,87	4,42	0,04	5512,88	0,02	6,84	22,18	0,00	7,27	283,00
COR_EC	EC	215	plastique	bleu	0,345307774	0,000115695	192,7538817	0,003405955	0,06	33,53	0,07	0,00	3,16	0,00	34,20	19,89	0,00	2,47	5,99	45,37	2,10	4,41	0,01	1809,48	0,05	32,97	15,97	0,30	6,70	231,00
COR_NC	NC	215	plastique	blanc	0,345307774	0,000115695	192,7538817	0,003405955	0,11	31,27	0,05	0,10	2,24	0,36	33,15	20,66	0,41	5,52	6,30	62,76	1,77	5,55	0,24	2674,62	1,49	24,92	14,95	0,30	7,35	250,00
DEC_EC	EC	136	plastique	bleu	0,371924007	0,000292203	246,065886	0,038229439	0,02	0,62	0,02	0,01	0,48	0,10	0,98	1,82	0,09	0,46	0,16	4,44	2,04	5,07	0,95	2967,18	0,02	3,05	26,29	0,01	7,63	194,00
